id,manglish,malayalam,english
299,avan padikkunnu undo,അവൻ പഠിക്കുന്നു ഉണ്ടോ,is he studying?
300,nammalu chaaya kazhikkunnuu,നാം ചായ കഴിക്കുന്നു,we is eating tea
301,njanu urangunnuu undo,ഞാൻ ഉറങ്ങുന്നു ഉണ്ടോ,is I sleeping?
302,aval officeil urangunnu,അവൾ ഓഫീസിൽ ഉറങ്ങുന്നു,she is sleeping at office
303,neeu schoolil varunnu,നീ സ്കൂളിൽ വരുന്നു,you is coming at school
304,nammal vellam kazheekkunnu,നാം വെള്ളം കഴിക്കുന്നു,we is eating water
305,nammalu pusthakam varunnu,നാം പുസ്തകം വരുന്നു,we is coming book
306,aval coffee kazheekkunnu,അവൾ കാപ്പി കഴിക്കുന്നു,she is eating coffee
307,nammal officeil kazhikkunnu,നാം ഓഫീസിൽ കഴിക്കുന്നു,we is eating at office
308,neeu schoolilu pokunnu,നീ സ്കൂളിൽ പോകുന്നു,you is going at school
309,nee coffee pokunnu,നീ കാപ്പി പോകുന്നു,you is going coffee
310,njanu pani cheyyunnu undo,ഞാൻ ജോലി ചെയ്യുന്നു ഉണ്ടോ,is I working?
311,njan schulil padeekkunnu,ഞാൻ സ്കൂളിൽ പഠിക്കുന്നു,I is studying at school
312,aval veettilu pokunnu,അവൾ വീട്ടിൽ പോകുന്നു,she is going at home
313,nammal coffee pani cheyyunnu,നാം കാപ്പി ജോലി ചെയ്യുന്നു,we is working coffee
314,nee pokunnuu undo,നീ പോകുന്നു ഉണ്ടോ,is you going?
315,nee chaaya varunnu,നീ ചായ വരുന്നു,you is coming tea
316,neeu padeekkunnu undo,നീ പഠിക്കുന്നു ഉണ്ടോ,is you studying?
317,avan poosthakam varunnu,അവൻ പുസ്തകം വരുന്നു,he is coming book
318,ni vellamu kazhikkunnu,നീ വെള്ളം കഴിക്കുന്നു,you is eating water
319,avan offeeceeel pani cheyyunnu,അവൻ ഓഫീസിൽ ജോലി ചെയ്യുന്നു,he is working at office
320,ni coffee urangunnu,നീ കാപ്പി ഉറങ്ങുന്നു,you is sleeping coffee
321,neeu pusthakam kazhikkunnu,നീ പുസ്തകം കഴിക്കുന്നു,you is eating book
322,avalu chaayau pokunnu,അവൾ ചായ പോകുന്നു,she is going tea
323,nammal officeil oorangoonnoo,നാം ഓഫീസിൽ ഉറങ്ങുന്നു,we is sleeping at office
324,njan vellam varunnu,ഞാൻ വെള്ളം വരുന്നു,I is coming water
325,njan chaayau pokunnu,ഞാൻ ചായ പോകുന്നു,I is going tea
326,avan officeil padikkunnu,അവൻ ഓഫീസിൽ പഠിക്കുന്നു,he is studying at office
327,njan vellam kazheekkunnu,ഞാൻ വെള്ളം കഴിക്കുന്നു,I is eating water
328,nammal pusthakam pokunnuu,നാം പുസ്തകം പോകുന്നു,we is going book
329,nammal coffee padikkoonnoo,നാം കാപ്പി പഠിക്കുന്നു,we is studying coffee
330,nammal chaayau varunnu,നാം ചായ വരുന്നു,we is coming tea
331,njan schoolil varoonnoo,ഞാൻ സ്കൂളിൽ വരുന്നു,I is coming at school
332,avan chaayau urangunnuu,അവൻ ചായ ഉറങ്ങുന്നു,he is sleeping tea
333,avanu offeeceeel kazhikkunnu,അവൻ ഓഫീസിൽ കഴിക്കുന്നു,he is eating at office
334,avan chaaya padikkunnu,അവൻ ചായ പഠിക്കുന്നു,he is studying tea
335,neeu schoolil padikkunnu,നീ സ്കൂളിൽ പഠിക്കുന്നു,you is studying at school
336,nee kazhikkoonnoo undo,നീ കഴിക്കുന്നു ഉണ്ടോ,is you eating?
337,njanu veettil pani cheyyunnu,ഞാൻ വീട്ടിൽ ജോലി ചെയ്യുന്നു,I is working at home
338,njan pusthakam urangunnu,ഞാൻ പുസ്തകം ഉറങ്ങുന്നു,I is sleeping book
339,njan schoolil urangunnu,ഞാൻ സ്കൂളിൽ ഉറങ്ങുന്നു,I is sleeping at school
340,avan vittil varunnu,അവൻ വീട്ടിൽ വരുന്നു,he is coming at home
341,nammal vellam varunnu,നാം വെള്ളം വരുന്നു,we is coming water
342,ni schoolil pani cheyyunnu,നീ സ്കൂളിൽ ജോലി ചെയ്യുന്നു,you is working at school
343,avan vellam urangunnuu,അവൻ വെള്ളം ഉറങ്ങുന്നു,he is sleeping water
344,avan pani cheyyunnu undo,അവൻ ജോലി ചെയ്യുന്നു ഉണ്ടോ,is he working?
345,aval schoolilu pokunnu,അവൾ സ്കൂളിൽ പോകുന്നു,she is going at school
346,nammal pusthakam pokunnu,നാം പുസ്തകം പോകുന്നു,we is going book
347,njanu vittil kazhikkunnu,ഞാൻ വീട്ടിൽ കഴിക്കുന്നു,I is eating at home
348,avan pusthakamu kazhikkunnu,അവൻ പുസ്തകം കഴിക്കുന്നു,he is eating book
349,avan veettil varunnu,അവൻ വീട്ടിൽ വരുന്നു,he is coming at home
350,aval chaaya kazhikkunnuu,അവൾ ചായ കഴിക്കുന്നു,she is eating tea
351,aval padikkunnuu undo,അവൾ പഠിക്കുന്നു ഉണ്ടോ,is she studying?
352,nee vellam varunnu,നീ വെള്ളം വരുന്നു,you is coming water
353,avan officeilu urangunnu,അവൻ ഓഫീസിൽ ഉറങ്ങുന്നു,he is sleeping at office
354,neeu vellam varoonnoo,നീ വെള്ളം വരുന്നു,you is coming water
355,nammal officeilu pani cheyyunnu,നാം ഓഫീസിൽ ജോലി ചെയ്യുന്നു,we is working at office
356,njan schoolil padikkunnuu,ഞാൻ സ്കൂളിൽ പഠിക്കുന്നു,I is studying at school
357,aval pusthakam urangunnu,അവൾ പുസ്തകം ഉറങ്ങുന്നു,she is sleeping book
358,nee schoolilu padikkunnu,നീ സ്കൂളിൽ പഠിക്കുന്നു,you is studying at school
359,njan schoolil kazhikkunnuu,ഞാൻ സ്കൂളിൽ കഴിക്കുന്നു,I is eating at school
360,nammalu urangunnu undo,നാം ഉറങ്ങുന്നു ഉണ്ടോ,is we sleeping?
361,aval coffeeu kazhikkunnu,അവൾ കാപ്പി കഴിക്കുന്നു,she is eating coffee
362,neeu chaayau oorangoonnoo,നീ ചായ ഉറങ്ങുന്നു,you is sleeping tea
363,avanu pusthakam pokoonnoo,അവൻ പുസ്തകം പോകുന്നു,he is going book
364,avan chaayau pani cheyyunnu,അവൻ ചായ ജോലി ചെയ്യുന്നു,he is working tea
365,avalu officeil urangunnu,അവൾ ഓഫീസിൽ ഉറങ്ങുന്നു,she is sleeping at office
366,nee pusthakam pani cheyyunnu,നീ പുസ്തകം ജോലി ചെയ്യുന്നു,you is working book
367,neeu veettil pokunnu,നീ വീട്ടിൽ പോകുന്നു,you is going at home
368,nammal officeil pani cheyyunnu,നാം ഓഫീസിൽ ജോലി ചെയ്യുന്നു,we is working at office
369,njan vellam pokoonnoo,ഞാൻ വെള്ളം പോകുന്നു,I is going water
370,aval officeil urangunnuu,അവൾ ഓഫീസിൽ ഉറങ്ങുന്നു,she is sleeping at office
371,avan coffee pani cheyyunnu,അവൻ കാപ്പി ജോലി ചെയ്യുന്നു,he is working coffee
372,njan pusthakam pani cheyyunnu,ഞാൻ പുസ്തകം ജോലി ചെയ്യുന്നു,I is working book
373,njan chaaya pani cheyyoonnoo,ഞാൻ ചായ ജോലി ചെയ്യുന്നു,I is working tea
374,aval coffee kazhikkunnu,അവൾ കാപ്പി കഴിക്കുന്നു,she is eating coffee
375,nammal veettil urangunnu,നാം വീട്ടിൽ ഉറങ്ങുന്നു,we is sleeping at home
376,avan vellam varoonnoo,അവൻ വെള്ളം വരുന്നു,he is coming water
377,nammal schulil pani cheyyunnu,നാം സ്കൂളിൽ ജോലി ചെയ്യുന്നു,we is working at school
378,nammal officeilu padikkunnuu,നാം ഓഫീസിൽ പഠിക്കുന്നു,we is studying at office
379,nammalu varunnuu undo,നാം വരുന്നു ഉണ്ടോ,is we coming?
380,aval kazhikkunnuu undo,അവൾ കഴിക്കുന്നു ഉണ്ടോ,is she eating?
381,ni padikkunnuu undo,നീ പഠിക്കുന്നു ഉണ്ടോ,is you studying?
382,avan pusthakam padikkoonnoo,അവൻ പുസ്തകം പഠിക്കുന്നു,he is studying book
383,njan coffeeu pani cheyyunnu,ഞാൻ കാപ്പി ജോലി ചെയ്യുന്നു,I is working coffee
384,avan coffee pani cheyyunnuu,അവൻ കാപ്പി ജോലി ചെയ്യുന്നു,he is working coffee
385,nammal vellam padeekkunnu,നാം വെള്ളം പഠിക്കുന്നു,we is studying water
386,neeu coffee padikkoonnoo,നീ കാപ്പി പഠിക്കുന്നു,you is studying coffee
387,njanu varunnuu undo,ഞാൻ വരുന്നു ഉണ്ടോ,is I coming?
388,avalu officeilu kazhikkunnu,അവൾ ഓഫീസിൽ കഴിക്കുന്നു,she is eating at office
389,aval veettil pokunnu,അവൾ വീട്ടിൽ പോകുന്നു,she is going at home
390,njan chaya pani cheyyunnu,ഞാൻ ചായ ജോലി ചെയ്യുന്നു,I is working tea
391,aval pani cheyyoonnoo undo,അവൾ ജോലി ചെയ്യുന്നു ഉണ്ടോ,is she working?
392,avan coffee varunnu,അവൻ കാപ്പി വരുന്നു,he is coming coffee
393,avan pusthakam varunnu,അവൻ പുസ്തകം വരുന്നു,he is coming book
394,aval urangunnu undo,അവൾ ഉറങ്ങുന്നു ഉണ്ടോ,is she sleeping?
395,nammal pani cheyyunnuu undo,നാം ജോലി ചെയ്യുന്നു ഉണ്ടോ,is we working?
396,aval schoolil varoonnoo,അവൾ സ്കൂളിൽ വരുന്നു,she is coming at school
397,aval chaaya varunnu,അവൾ ചായ വരുന്നു,she is coming tea
398,avan schooleel padikkunnu,അവൻ സ്കൂളിൽ പഠിക്കുന്നു,he is studying at school
399,avalu schoolil urangunnu,അവൾ സ്കൂളിൽ ഉറങ്ങുന്നു,she is sleeping at school
400,njan pani cheyyunnuu undo,ഞാൻ ജോലി ചെയ്യുന്നു ഉണ്ടോ,is I working?
401,nee coffee padikkunnu,നീ കാപ്പി പഠിക്കുന്നു,you is studying coffee
402,njan pusthakam urangunnuu,ഞാൻ പുസ്തകം ഉറങ്ങുന്നു,I is sleeping book
403,avan schoolilu padikkunnu,അവൻ സ്കൂളിൽ പഠിക്കുന്നു,he is studying at school
404,nee veetteel kazhikkunnuu,നീ വീട്ടിൽ കഴിക്കുന്നു,you is eating at home
405,nammal pusthakamu padikkunnu,നാം പുസ്തകം പഠിക്കുന്നു,we is studying book
406,nee vittil varunnuu,നീ വീട്ടിൽ വരുന്നു,you is coming at home
407,aval coffee urangunnu,അവൾ കാപ്പി ഉറങ്ങുന്നു,she is sleeping coffee
408,nee vittil pani cheyyoonnoo,നീ വീട്ടിൽ ജോലി ചെയ്യുന്നു,you is working at home
409,avalu urangunnu undo,അവൾ ഉറങ്ങുന്നു ഉണ്ടോ,is she sleeping?
410,njan pusthakam varunnu,ഞാൻ പുസ്തകം വരുന്നു,I is coming book
411,njan veettil urangunnu,ഞാൻ വീട്ടിൽ ഉറങ്ങുന്നു,I is sleeping at home
412,avan kazhikkoonnoo undo,അവൻ കഴിക്കുന്നു ഉണ്ടോ,is he eating?
413,njanu veetteel pani cheyyoonnoo,ഞാൻ വീട്ടിൽ ജോലി ചെയ്യുന്നു,I is working at home
414,njan schoolilu varunnu,ഞാൻ സ്കൂളിൽ വരുന്നു,I is coming at school
415,aval coffi varunnu,അവൾ കാപ്പി വരുന്നു,she is coming coffee
416,ni pani cheyyoonnoo undo,നീ ജോലി ചെയ്യുന്നു ഉണ്ടോ,is you working?
417,njanu kazhikkunnu undo,ഞാൻ കഴിക്കുന്നു ഉണ്ടോ,is I eating?
418,avanu coffee padikkunnu,അവൻ കാപ്പി പഠിക്കുന്നു,he is studying coffee
419,aval veettil kazhikkunnu,അവൾ വീട്ടിൽ കഴിക്കുന്നു,she is eating at home
420,njan pusthakamu padeekkunnu,ഞാൻ പുസ്തകം പഠിക്കുന്നു,I is studying book
421,avalu coffee oorangoonnoo,അവൾ കാപ്പി ഉറങ്ങുന്നു,she is sleeping coffee
422,nammal vellam padikkunnu,നാം വെള്ളം പഠിക്കുന്നു,we is studying water
423,avan varunnuu undo,അവൻ വരുന്നു ഉണ്ടോ,is he coming?
424,avan vellam padeekkunnu,അവൻ വെള്ളം പഠിക്കുന്നു,he is studying water
425,nammalu vellam pokoonnoo,നാം വെള്ളം പോകുന്നു,we is going water
426,aval kazheekkunnu undo,അവൾ കഴിക്കുന്നു ഉണ്ടോ,is she eating?
427,nee schoolil varoonnoo,നീ സ്കൂളിൽ വരുന്നു,you is coming at school
428,njan officeil varunnuu,ഞാൻ ഓഫീസിൽ വരുന്നു,I is coming at office
429,nee officeilu kazhikkunnuu,നീ ഓഫീസിൽ കഴിക്കുന്നു,you is eating at office
